,id,segment_id,time_slot,visit_count
247,446,41,13098171600000000,1
248,447,128,13098171600000000,1
249,448,135,13098171600000000,1
250,450,151,13098171600000000,1
251,451,48,13098171600000000,1
252,455,29,13098171600000000,1
253,460,61,13098258000000000,1
254,461,20,13098258000000000,1
255,466,121,13098258000000000,1
256,468,48,13098344400000000,11
257,469,135,13098344400000000,2
258,470,121,13098344400000000,1
259,471,2,13098344400000000,9
260,472,5,13098344400000000,1
261,475,41,13098344400000000,1
262,476,63,13098344400000000,1
263,477,1,13098430800000000,2
264,478,121,13098430800000000,1
265,479,160,13098430800000000,1
266,480,29,13098430800000000,1
267,481,48,13098430800000000,5
268,483,161,13098430800000000,1
269,484,128,13098430800000000,1
270,485,5,13098430800000000,3
271,487,45,13098430800000000,1
272,488,63,13098430800000000,1
273,489,121,13098517200000000,1
274,490,1,13098517200000000,2
275,492,48,13098517200000000,4
276,493,41,13098517200000000,1
277,494,1,13098603600000000,1
278,495,48,13098603600000000,10
279,496,2,13098603600000000,9
280,497,41,13098603600000000,4
281,498,5,13098603600000000,30
282,499,61,13098603600000000,1
283,500,45,13098776400000000,1
284,501,121,13098776400000000,1
285,502,5,13098776400000000,1
286,503,48,13098776400000000,2
287,504,1,13098776400000000,2
288,505,2,13098776400000000,13
289,506,162,13098776400000000,8
290,507,63,13098776400000000,1
291,508,41,13098776400000000,6
292,510,29,13098776400000000,1
293,511,20,13098776400000000,12
294,513,1,13098862800000000,1
295,514,121,13098862800000000,1
296,515,48,13098862800000000,19
297,516,41,13098862800000000,2
298,517,20,13098862800000000,1
299,518,128,13098862800000000,1
300,519,5,13098862800000000,5
301,520,39,13098862800000000,1
302,522,2,13098862800000000,8
303,524,46,13098862800000000,2
304,525,45,13098862800000000,1
305,526,1,13098949200000000,3
306,528,48,13098949200000000,9
307,532,5,13099035600000000,2
308,533,1,13099122000000000,6
309,534,147,13099122000000000,1
310,535,41,13099122000000000,5
311,538,48,13099122000000000,11
312,539,121,13099122000000000,1
313,540,20,13099122000000000,1
314,541,168,13099122000000000,8
315,542,46,13099122000000000,1
316,544,41,13099208400000000,4
317,547,48,13099208400000000,2
318,548,172,13099208400000000,3
319,550,20,13099208400000000,1
320,551,46,13099208400000000,1
321,552,1,13099208400000000,1
322,554,61,13099208400000000,1
323,555,5,13099294800000000,2
324,556,121,13099381200000000,1
325,557,41,13099381200000000,2
326,558,161,13099381200000000,1
327,559,135,13099381200000000,1
328,561,1,13099381200000000,1
329,562,29,13099381200000000,2
330,563,48,13099381200000000,3
331,565,5,13099381200000000,42
332,566,61,13099381200000000,1
333,567,77,13099381200000000,4
334,571,5,13099467600000000,2
335,572,1,13099467600000000,1
336,574,45,13099467600000000,1
337,575,48,13099467600000000,5
338,576,41,13099467600000000,4
339,577,61,13099467600000000,1
340,578,48,13099554000000000,12
341,580,15,13099554000000000,1
342,581,1,13099554000000000,3
343,582,45,13099554000000000,7
344,585,20,13099554000000000,20
345,586,46,13099554000000000,4
346,587,41,13099554000000000,21
347,588,5,13099554000000000,3
348,589,2,13099554000000000,11
349,591,128,13099554000000000,1
350,593,179,13099554000000000,1
351,596,135,13099640400000000,1
352,597,1,13099640400000000,4
353,598,41,13099640400000000,2
354,599,5,13099640400000000,1
355,600,48,13099640400000000,9
356,601,45,13099640400000000,1
357,602,2,13099640400000000,17
358,605,121,13099726800000000,1
359,606,128,13099726800000000,2
360,607,146,13099726800000000,4
361,608,5,13099726800000000,2
362,609,48,13099726800000000,4
363,610,25,13099726800000000,1
364,611,46,13099726800000000,3
365,613,48,13099899600000000,2
366,614,41,13099899600000000,2
367,615,2,13099986000000000,9
368,616,121,13099986000000000,1
369,617,1,13099986000000000,1
370,618,5,13099986000000000,1
371,619,45,13099986000000000,2
372,620,48,13099986000000000,6
373,623,29,13099986000000000,1
374,631,179,13099986000000000,1
375,633,121,13100072400000000,1
376,634,29,13100072400000000,2
377,636,20,13100072400000000,1
378,637,48,13100072400000000,6
379,638,45,13100072400000000,2
380,639,135,13100072400000000,1
381,640,128,13100072400000000,1
382,643,147,13100072400000000,1
383,644,2,13100072400000000,3
384,646,179,13100072400000000,1
